A/C,Source,G/F,units,0,20,40,50,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
Kestrel H.401 (32.8),IDA,32.8,m/s,,,,,,,,0.66,0.64,0.63,0.63,0.64,0.67,0.71,0.76,0.82,0.88,0.96,1.04,1.12,1.22,1.3,1.4,1.49,1.59,1.69,1.78,1.89,1.98,,,,
Kestrel H-604/17 (35.2),IDA,35.2,m/s,,,,,,,,0.56,0.53,0.54,0.55,0.58,0.62,0.66,0.7,0.77,0.84,0.93,1.02,1.11,1.2,1.31,1.41,1.5,1.6,1.71,1.82,1.93,2.05,2.17,2.3,2.43,
Kranich lll (24.2),IDA,24.2,m/s,,,,,,0.82,0.8,0.83,0.85,0.9,0.95,1.04,1.15,1.27,1.41,1.56,1.75,1.94,2.13,2.35,2.57,2.79,3.04,3.3,3.6,3.95,4.29,,,,,,
L+A7S 3a (32.6),IDA,32.6,m/s,,,,,,,0.67,0.64,0.63,0.63,0.64,0.66,0.7,0.74,0.78,0.83,0.89,0.96,1.05,1.15,1.25,1.36,1.47,1.59,1.71,1.84,1.96,2.09,2.22,2.36,2.5,2.66,
Libelle 201 (29.1),IDA,29.1,m/s,,,,,,,0,0.72,0.68,0.67,0.68,0.7,0.75,0.85,0.9,1.02,1.14,1.28,1.43,1.57,1.73,1.89,2.06,,,,,,,,,,
Libelle H-301B (29.8),IDA,29.8,m/s,,,,,,,,0.61,0.6,0.59,0.61,0.65,0.69,0.75,0.82,0.89,0.98,1.07,1.16,1.26,1.36,1.47,1.6,1.72,1.86,2.03,,,,,,,
LS 1 C (29.5),IDA,29.5,m/s,,,,,,,,,0.63,0.66,0.7,0.75,0.81,0.88,0.97,1.07,1.19,1.31,1.46,1.6,1.76,1.92,2.09,2.26,,,,,,,,,
LS 1 f (35.5),IDA,35.5,m/s,,,,,,,0.76,0.67,0.64,0.65,0.68,0.71,0.75,0.8,0.85,0.89,0.98,1.07,1.17,1.26,1.37,1.48,1.6,1.72,1.87,2.02,2.18,2.34,2.52,2.72,2.93,3.14,
Ls 1f (35.5),IDA,35.5,knots,,,,,,,1.47,1.28,1.25,1.25,1.32,1.36,1.44,1.55,1.62,1.7,1.89,2.08,2.27,2.42,2.64,2.83,3.1,3.32,3.59,3.89,4.19,4.5,4.84,5.25,5.63,,
LS 3 (35.5),IDA,35.5,m/s,,,,,,,0.66,0.64,0.63,0.63,0.64,0.65,0.68,0.71,0.76,0.82,0.88,0.92,0.98,1.04,1.11,1.18,1.27,1.36,1.46,1.59,1.72,1.87,2.04,2.22,,,
LS 4 (34.4),IDA,34.4,m/s,,,,,,,,0.74,0.66,0.64,0.64,0.67,0.69,0.72,0.77,0.83,0.9,0.97,1.05,1.12,1.21,1.31,1.42,1.54,1.68,1.85,2.04,2.24,2.45,2.64,2.85,3.13,
LS 4 (39.8),IDA,39.8,m/s,,,,,,,,,0.8,0.71,0.69,0.69,0.69,0.72,0.75,0.79,0.86,0.91,0.98,1.05,1.12,1.2,1.29,1.38,1.49,1.62,1.76,1.91,2.08,2.27,2.48,2.69,
LS 4 (32.2),IDA,32.2,m/s,,,,,,,0.8,0.65,0.63,0.62,0.64,0.66,0.69,0.73,0.79,0.85,0.92,1,1.08,1.17,1.27,1.37,1.5,1.65,1.81,1.99,2.19,2.39,2.62,,,,
LS 4 (33),IDA,33,m/s,,,,,,,0.75,0.66,0.63,0.63,0.64,0.66,0.68,0.72,0.77,0.82,0.88,0.96,1.05,1.15,1.26,1.38,1.52,1.65,1.79,1.93,2.08,2.24,2.39,2.56,2.72,2.9,
LS3/17 (33),IDA,33,m/s,,,,,,,0.56,0.56,0.56,0.56,0.58,0.6,0.63,0.67,0.73,0.79,0.87,0.94,1.05,1.17,1.29,1.43,1.57,1.71,1.87,2.05,2.24,2.44,2.64,2.85,3.08,,
L-Spatz 55 (21.34),IDA,21.34,m/s,,,,,,0.81,0.8,0.84,0.9,0.99,1.08,1.18,1.31,1.42,,,,,,,,,,,,,,,,,,,
M-100S (21.93),IDA,21.93,m/s,,,,,,0.83,0.76,0.77,0.84,0.92,1,1.13,1.25,1.4,1.56,1.74,1.93,2.15,,,,,,,,,,,,,,,
Mini Nimbus (34.2),IDA,34.2,m/s,,,,,,,,0.65,0.63,0.63,0.64,0.66,0.69,0.71,0.76,0.81,0.88,0.96,1.05,1.14,1.25,1.35,1.46,1.57,1.71,1.86,2,2.13,2.29,2.44,2.62,2.82,
Mistrel C (31.36),IDA,31.36,m/s,,,,,,,,0.7,0.67,0.68,0.68,0.71,0.75,0.8,0.87,0.95,1.04,1.15,1.25,1.36,1.48,1.6,1.74,1.88,2.04,2.02,2.4,2.64,2.88,3.15,3.47,,
